No.,Name,Pos,Ht,Wt,Birth Date,,Exp,College,City,Team,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
22,Cameron Payne,PG,6-3,185,"August 8, 1994",us,1,Murray State University,Chicago,Bulls,Cameron Payne,22,10,0,14,2.1,6.3,0.333,1.1,3.4,0.324,1,2.9,0.345,0.421,0.1,0.4,0.25,0.1,1.5,1.6,1.5,0.4,0,1.3,1.3,5.4
2,Jerian Grant,PG,6-4,195,"October 9, 1992",us,1,University of Notre Dame,Chicago,Bulls,Jerian Grant,24,58,25,15.7,1.9,4.5,0.411,0.7,2,0.362,1.1,2.5,0.449,0.49,1,1.2,0.882,0.3,1.3,1.6,1.6,0.7,0.1,0.7,1.4,5.5
5,Bobby Portis,PF,6-11,230,"February 10, 1995",us,1,University of Arkansas,Chicago,Bulls,Bobby Portis,21,59,13,15.3,2.7,5.7,0.479,0.5,1.5,0.314,2.3,4.2,0.536,0.519,0.6,0.9,0.673,1.1,3.3,4.4,0.5,0.2,0.2,0.6,1.5,6.5
21,Jimmy Butler,SF,6-7,220,"September 14, 1989",us,5,Marquette University,Chicago,Bulls,Jimmy Butler,27,71,70,37,7.5,16.5,0.454,1.2,3.3,0.357,6.3,13.2,0.478,0.49,7.7,9,0.862,1.7,4.5,6.2,5.5,1.9,0.4,2,1.5,23.9
8,Robin Lopez,C,7-0,255,"April 1, 1988",us,8,Stanford University,Chicago,Bulls,Robin Lopez,28,76,76,28,4.7,9.5,0.492,0,0,0,4.7,9.5,0.494,0.492,0.9,1.2,0.71,3,3.3,6.4,1,0.2,1.4,1.1,1.9,10.2
6,Cristiano Felicio,C,6-10,275,"July 7, 1992",br,1,,Chicago,Bulls,Cristiano Felicio,24,62,0,15.9,2,3.4,0.573,0,0,,2,3.4,0.573,0.573,1,1.5,0.652,2,2.8,4.8,0.6,0.4,0.2,0.5,1.7,4.9
9,Rajon Rondo,PG,6-1,186,"February 22, 1986",us,10,University of Kentucky,Chicago,Bulls,Rajon Rondo,30,67,40,26.8,3.3,8.1,0.408,0.7,1.9,0.364,2.6,6.2,0.422,0.451,0.4,0.7,0.6,1,4.1,5.1,6.7,1.5,0.2,2.5,2.1,7.8
3,Dwyane Wade,SG,6-4,220,"January 17, 1982",us,13,Marquette University,Chicago,Bulls,Dwyane Wade,35,57,56,30.2,7,16.2,0.434,0.8,2.5,0.315,6.2,13.7,0.455,0.458,3.8,4.8,0.793,1.1,3.4,4.5,3.9,1.5,0.7,2.2,1.9,18.6
45,Denzel Valentine,SG,6-6,212,"November 16, 1993",us,R,Michigan State University,Chicago,Bulls,Denzel Valentine,23,52,0,17.4,1.9,5.2,0.361,1.3,3.8,0.354,0.5,1.4,0.378,0.489,0.3,0.3,0.778,0.2,2.5,2.7,1.1,0.6,0.1,0.9,1.5,5.3
16,Paul Zipser,SF,6-8,215,"February 18, 1994",de,R,,Chicago,Bulls,Paul Zipser,22,39,16,18.8,1.9,4.8,0.398,0.7,2.1,0.317,1.2,2.7,0.462,0.468,0.8,1,0.775,0.4,2.3,2.7,0.8,0.3,0.4,0.9,1.7,5.3
0,Isaiah Canaan,SG,6-0,201,"May 21, 1991",us,3,Murray State University,Chicago,Bulls,Isaiah Canaan,25,37,0,15.8,1.7,4.6,0.367,0.6,2.5,0.264,1,2.1,0.487,0.438,0.8,0.8,0.903,0.2,1.1,1.3,0.9,0.6,0,0.5,0.9,4.8
0,C.J. Miles,SF,6-6,225,"April 18, 1987",us,11,,Indiana,Pacers,C.J. Miles,29,71,29,23.6,3.8,8.6,0.437,2.3,5.4,0.418,1.5,3.2,0.469,0.569,1.2,1.3,0.902,0.4,2.6,3,0.6,0.6,0.4,0.5,2.1,11
13,Paul George,SF,6-9,220,"May 2, 1990",us,6,"California State University, Fresno",Indiana,Pacers,Paul George,26,70,70,35.7,8.1,17.8,0.453,2.5,6.5,0.389,5.5,11.3,0.489,0.523,4.5,5,0.901,0.8,5.7,6.5,3.3,1.5,0.4,3,2.8,23.2
44,Jeff Teague,PG,6-2,186,"June 10, 1988",us,7,Wake Forest University,Indiana,Pacers,Jeff Teague,28,77,77,32.4,4.9,11.1,0.443,1.1,3.1,0.364,3.8,8,0.473,0.494,4.3,5,0.867,0.4,3.7,4.2,7.8,1.2,0.4,2.7,2.1,15.3
33,Myles Turner,C,6-11,243,"March 24, 1996",us,1,University of Texas at Austin,Indiana,Pacers,Myles Turner,20,76,76,31.4,5.5,10.8,0.509,0.5,1.5,0.342,5,9.3,0.535,0.532,3,3.7,0.802,1.7,5.5,7.1,1.3,0.9,2.1,1.3,3.3,14.4
21,Thaddeus Young,PF,6-8,221,"June 21, 1988",us,9,Georgia Institute of Technology,Indiana,Pacers,Thaddeus Young,28,69,69,30,4.8,9.1,0.522,0.7,1.7,0.385,4.1,7.4,0.554,0.558,0.6,1.2,0.518,1.6,4.3,5.9,1.6,1.6,0.4,1.3,1.9,10.8
11,Monta Ellis,SG,6-3,185,"October 26, 1985",us,11,,Indiana,Pacers,Monta Ellis,31,69,28,27.2,3.4,7.7,0.446,0.6,1.8,0.317,2.9,5.9,0.486,0.484,1.3,1.8,0.74,0.3,2.6,2.8,3.2,1,0.3,1.8,2,8.8
5,Lavoy Allen,PF,6-9,260,"February 4, 1989",us,5,Temple University,Indiana,Pacers,Lavoy Allen,27,58,5,14.6,1.3,2.8,0.453,0,0,0,1.3,2.8,0.456,0.453,0.4,0.6,0.688,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.9
40,Glenn Robinson III,SF,6-6,222,"January 8, 1994",us,2,University of Michigan,Indiana,Pacers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25,Rakeem Christmas,PF,6-9,250,"December 1, 1991",us,1,Syracuse University,Indiana,Pacers,Rakeem Christmas,25,25,0,8.7,0.8,1.7,0.442,0,0,,0.8,1.7,0.442,0.442,0.8,1.1,0.741,1,1.2,2.2,0.2,0.1,0.2,0.3,1.5,2.3
3,Joe Young,PG,6-2,180,"June 27, 1992",us,1,University of Oregon,Indiana,Pacers,Joe Young,24,30,0,4.4,0.8,2.3,0.357,0.2,0.8,0.217,0.7,1.6,0.426,0.393,0.4,0.5,0.733,0,0.5,0.5,0.5,0.1,0,0.2,0.2,2.2
7,Al Jefferson,C,6-10,289,"January 4, 1985",us,12,,Indiana,Pacers,Al Jefferson,32,66,1,14.1,3.6,7.1,0.499,0,0,0,3.6,7.1,0.5,0.499,1,1.3,0.765,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,8.1
32,Georges Niang,PF,6-8,230,"June 17, 1993",us,R,Iowa State University,Indiana,Pacers,Georges Niang,23,23,0,4,0.4,1.6,0.25,0,0.5,0.083,0.3,1,0.333,0.264,0.1,0.1,1,0.1,0.7,0.7,0.2,0.1,0,0.2,0.3,0.9
0,Aaron Brooks,PG,6-0,161,"January 14, 1985",us,8,University of Oregon,Indiana,Pacers,Aaron Brooks,32,60,0,13.6,1.9,4.8,0.397,0.7,2,0.355,1.2,2.8,0.428,0.472,0.5,0.6,0.789,0.3,0.8,1.1,1.9,0.4,0.2,1,1.4,5
1,Kevin Seraphin,PF,6-9,285,"December 7, 1989",gf,6,,Indiana,Pacers,Kevin Seraphin,27,44,3,10.8,2,3.7,0.54,0,0,0,2,3.7,0.547,0.54,0.1,0.2,0.5,0.8,1.9,2.8,0.5,0.1,0.4,0.5,1.2,4.1
6,Lance Stephenson,G-F,6-5,230,"September 5, 1990",us,6,University of Cincinnati,Indiana,Pacers,Lance Stephenson,26,1,0,18,2,7,0.286,0,1,0,2,6,0.333,0.286,0,0,,0,3,3,3,0,0,1,5,4
5,Kentavious Caldwell-Pope,SG,6-5,205,"February 18, 1993",us,3,University of Georgia,Detroit,Pistons,Kentavious Caldwell-Pope,23,72,72,33.8,5,12.4,0.404,2.1,5.8,0.359,2.9,6.6,0.442,0.487,2.1,2.5,0.832,0.8,2.5,3.3,2.6,1.2,0.2,1.1,1.6,14.1
25,Reggie Bullock,SF,6-7,205,"March 16, 1991",us,3,University of North Carolina,Detroit,Pistons,Reggie Bullock,25,26,3,13.4,1.3,3.6,0.362,0.5,1.9,0.26,0.8,1.7,0.477,0.431,0.2,0.3,0.714,0.3,1.5,1.9,0.7,0.5,0.1,0.3,0.7,3.3
13,Marcus Morris,SF,6-9,235,"September 2, 1989",us,5,University of Kansas,Detroit,Pistons,Marcus Morris,27,76,76,32.9,5.4,12.8,0.418,1.5,4.6,0.33,3.9,8.3,0.467,0.477,1.9,2.4,0.784,1,3.7,4.7,2.1,0.7,0.3,1.1,2.1,14.2
7,Stanley Johnson,SF,6-7,245,"May 29, 1996",us,1,University of Arizona,Detroit,Pistons,Stanley Johnson,20,72,0,17.2,1.7,4.6,0.362,0.5,1.9,0.277,1.1,2.7,0.422,0.419,0.5,0.7,0.667,0.5,2,2.5,1.3,0.7,0.3,0.9,1.6,4.3
12,Aron Baynes,C,6-10,260,"December 9, 1986",nz,4,Washington State University,Detroit,Pistons,Aron Baynes,30,74,2,15.5,1.9,3.7,0.504,0,0,,1.9,3.7,0.504,0.504,1,1.2,0.837,1.5,2.9,4.4,0.4,0.2,0.5,0.6,2.2,4.8
34,Tobias Harris,PF,6-9,235,"July 15, 1992",us,5,University of Tennessee,Detroit,Pistons,Tobias Harris,24,77,47,31.5,6.3,13,0.484,1.3,3.8,0.341,5,9.2,0.542,0.534,2.4,2.8,0.85,0.7,4.4,5.1,1.7,0.7,0.5,1.2,1.7,16.2
1,Reggie Jackson,PG,6-3,208,"April 16, 1990",it,5,Boston College,Detroit,Pistons,Reggie Jackson,26,52,50,27.4,5.5,13,0.419,1.3,3.5,0.359,4.2,9.5,0.442,0.468,2.3,2.6,0.868,0.4,1.8,2.2,5.2,0.7,0.1,2.2,2.5,14.5
6,Darrun Hilliard,SG,6-6,205,"April 13, 1993",us,1,Villanova University,Detroit,Pistons,Darrun Hilliard,23,35,1,9.2,1,3,0.327,0.3,1.1,0.237,0.7,1.9,0.379,0.37,0.5,0.7,0.708,0.1,0.8,0.8,0.8,0.2,0,0.6,0.9,2.7
30,Jon Leuer,PF,6-10,228,"May 14, 1989",us,5,University of Wisconsin,Detroit,Pistons,Jon Leuer,27,71,31,26.5,4.3,8.8,0.485,0.7,2.3,0.294,3.6,6.5,0.552,0.523,1.3,1.5,0.879,1.4,4.1,5.5,1.5,0.4,0.4,0.9,2,10.6
14,Ish Smith,PG,6-0,175,"July 5, 1988",us,6,Wake Forest University,Detroit,Pistons,Ish Smith,28,76,27,23.7,3.9,8.9,0.435,0.4,1.3,0.281,3.5,7.6,0.461,0.455,0.8,1.2,0.689,0.2,2.7,2.9,5,0.8,0.4,1.4,1.6,8.9
0,Andre Drummond,C,6-11,279,"August 10, 1993",us,4,University of Connecticut,Detroit,Pistons,Andre Drummond,23,76,76,30.1,6.1,11.4,0.533,0,0.1,0.286,6.1,11.4,0.535,0.534,1.7,4.4,0.391,4.3,9.7,14,1.1,1.6,1.1,1.9,2.9,14
51,Boban Marjanovic,C,7-3,290,"August 15, 1988",rs,1,,Detroit,Pistons,Boban Marjanovic,28,31,0,6.5,1.5,2.8,0.523,0,0,,1.5,2.8,0.523,0.523,1.2,1.5,0.8,1,1.9,2.9,0.2,0.1,0.3,0.2,0.5,4.1
9,Michael Gbinije,SG,6-7,200,"June 5, 1992",us,R,Syracuse University,Detroit,Pistons,Michael Gbinije,24,9,0,3.6,0.1,1.1,0.1,0,0.4,0,0.1,0.7,0.167,0.1,0.2,0.2,1,0.2,0.1,0.3,0.2,0,0,0,0.2,0.4
8,Henry Ellenson,PF,6-11,245,"January 13, 1997",us,R,Marquette University,Detroit,Pistons,Henry Ellenson,20,15,0,3.8,0.5,1.5,0.348,0.3,0.9,0.286,0.3,0.6,0.444,0.435,0.1,0.1,1,0.1,0.7,0.8,0.3,0,0,0.4,0.2,1.4
19,Beno Udrih,PG,6-3,205,"July 5, 1982",si,12,,Detroit,Pistons,Beno Udrih,34,36,0,13.9,2.3,4.9,0.466,0.3,0.9,0.323,2,4,0.497,0.494,0.8,0.9,0.938,0.1,1.3,1.4,3.1,0.3,0,0.9,0.7,5.7
8,Shelvin Mack,PG,6-3,203,"April 22, 1990",us,5,Butler University,Utah,Jazz,Shelvin Mack,26,50,9,21.3,3,6.7,0.448,0.6,2.1,0.302,2.4,4.6,0.515,0.496,0.9,1.3,0.697,0.3,1.9,2.2,2.7,0.8,0,1.6,1.8,7.6
27,Rudy Gobert,C,7-1,245,"June 26, 1992",fr,3,,Utah,Jazz,Rudy Gobert,24,76,76,34.1,5,7.6,0.659,0,0,0,5,7.6,0.66,0.659,3.8,5.9,0.649,4,8.9,12.9,1.2,0.6,2.7,1.9,3,13.9
3,George Hill,PG,6-3,188,"May 4, 1986",us,8,Indiana University-Purdue University Indianapolis,Utah,Jazz,George Hill,30,47,47,32,5.9,12.6,0.471,1.9,4.8,0.393,4,7.8,0.519,0.546,3.2,4,0.8,0.5,3,3.5,4.1,1,0.2,1.8,2.4,16.9
33,Boris Diaw,PF,6-8,250,"April 16, 1982",fr,13,,Utah,Jazz,Boris Diaw,34,68,28,17.5,2,4.5,0.45,0.3,1.1,0.256,1.8,3.4,0.515,0.482,0.3,0.5,0.71,0.6,1.4,2.1,2.2,0.2,0.1,1.2,1.1,4.7
15,Derrick Favors,PF,6-10,265,"July 15, 1991",us,6,Georgia Institute of Technology,Utah,Jazz,Derrick Favors,25,47,39,24.1,4,8.4,0.483,0.1,0.2,0.333,4,8.2,0.487,0.487,1.4,2.3,0.623,1.8,4.4,6.2,1.1,0.9,0.9,1.2,2.1,9.6
20,Gordon Hayward,SF,6-8,226,"March 23, 1990",us,6,Butler University,Utah,Jazz,Gordon Hayward,26,69,69,34.6,7.3,15.8,0.463,2,5.2,0.389,5.3,10.6,0.499,0.527,5,6,0.844,0.7,4.8,5.5,3.5,1,0.3,1.9,1.6,21.7
10,Alec Burks,SG,6-6,214,"July 20, 1991",us,5,University of Colorado,Utah,Jazz,Alec Burks,25,38,0,15.7,2.5,6.1,0.405,0.6,1.9,0.315,1.9,4.2,0.447,0.455,1.5,2,0.773,0.4,2.3,2.7,0.7,0.5,0.1,0.8,1.3,7.1
11,Dante Exum,PG,6-6,190,"July 13, 1995",au,1,,Utah,Jazz,Dante Exum,21,61,22,18.2,2.4,5.4,0.434,0.6,2.2,0.295,1.7,3.3,0.525,0.492,0.9,1.1,0.812,0.5,1.5,2,1.6,0.3,0.2,1.2,2.2,6.3
5,Rodney Hood,SG,6-8,206,"October 20, 1992",us,2,Duke University,Utah,Jazz,Rodney Hood,24,56,55,27.3,4.7,11.3,0.415,2,5.2,0.381,2.7,6.1,0.444,0.503,1.5,1.9,0.778,0.3,3.1,3.4,1.6,0.7,0.2,1.1,2.3,12.9
41,Trey Lyles,PF,6-10,234,"November 5, 1995",ca,1,University of Kentucky,Utah,Jazz,Trey Lyles,21,68,4,16.8,2.3,6.4,0.365,0.9,3,0.317,1.4,3.4,0.407,0.439,0.8,1.1,0.72,0.7,2.7,3.4,1,0.4,0.3,0.9,1.4,6.4
2,Joe Ingles,SF,6-8,226,"October 2, 1987",au,2,,Utah,Jazz,Joe Ingles,29,77,21,23.6,2.5,5.4,0.456,1.5,3.4,0.448,1,2.1,0.468,0.595,0.6,0.9,0.742,0.3,2.8,3.1,2.6,1.2,0.1,1.2,2,7.1
25,Raul Neto,PG,6-1,179,"May 19, 1992",br,1,,Utah,Jazz,Raul Neto,24,39,0,8.5,1.1,2.3,0.461,0.3,0.8,0.333,0.8,1.5,0.525,0.517,0.2,0.2,0.889,0.1,0.6,0.7,0.8,0.5,0.1,0.4,1.2,2.6
24,Jeff Withey,C,7-0,231,"March 7, 1990",us,3,University of Kansas,Utah,Jazz,Jeff Withey,26,47,1,8.6,1,2,0.51,0,0,0,1,2,0.516,0.51,0.7,0.9,0.773,1,1.4,2.4,0.1,0.3,0.6,0.3,1,2.8
6,Joe Johnson,SF,6-7,240,"June 29, 1981",us,15,University of Arkansas,Utah,Jazz,Joe Johnson,35,73,14,23.5,3.4,7.8,0.429,1.2,3.2,0.384,2.2,4.7,0.46,0.507,0.8,1,0.831,0.5,2.7,3.2,1.8,0.4,0.2,0.9,1.2,8.8
21,Joel Bolomboy,PF,6-9,235,"January 28, 1994",ua,R,Weber State University,Utah,Jazz,Joel Bolomboy,23,10,0,3.5,0.7,1.2,0.583,0,0.2,0,0.7,1,0.7,0.583,0.2,0.4,0.5,0.1,1,1.1,0.2,0.1,0.1,0.2,0.1,1.6
22,Taj Gibson,PF,6-9,225,"June 24, 1985",us,7,University of Southern California,Oklahoma City,Thunder,Taj Gibson,31,55,55,27.3,5,9.6,0.521,0,0.2,0.167,5,9.4,0.529,0.523,1.5,2.2,0.714,2.2,4.8,7,1.1,0.5,0.9,1.4,2.2,11.6
21,Andre Roberson,SF,6-7,210,"December 4, 1991",us,3,University of Colorado,Oklahoma City,Thunder,Andre Roberson,25,76,76,30.5,2.8,6,0.465,0.6,2.4,0.25,2.2,3.6,0.606,0.514,0.6,1.4,0.431,1.3,3.9,5.2,1,1.2,1,0.7,2.6,6.8
0,Russell Westbrook,PG,6-3,200,"November 12, 1988",us,8,"University of California, Los Angeles",Oklahoma City,Thunder,Russell Westbrook,28,76,76,34.8,10.3,24.2,0.425,2.4,7.1,0.339,7.9,17.1,0.461,0.475,8.9,10.6,0.842,1.7,9,10.6,10.4,1.7,0.4,5.4,2.3,31.9
4,Nick Collison,PF,6-10,255,"October 26, 1980",us,12,University of Kansas,Oklahoma City,Thunder,Nick Collison,36,16,0,6,0.6,0.8,0.692,0,0,,0.6,0.8,0.692,0.692,0.3,0.5,0.625,0.4,0.9,1.3,0.6,0.1,0.1,0.2,0.8,1.4
12,Steven Adams,C,7-0,255,"July 20, 1993",nz,3,University of Pittsburgh,Oklahoma City,Thunder,Steven Adams,23,74,74,30.1,4.7,8.2,0.576,0,0,0,4.7,8.2,0.578,0.576,2,3.3,0.611,3.4,4.2,7.6,1.1,1.1,1,1.9,2.4,11.5
5,Victor Oladipo,SG,6-4,210,"May 4, 1992",us,3,Indiana University,Oklahoma City,Thunder,Victor Oladipo,24,61,61,33.4,6.3,14.1,0.448,2,5.3,0.377,4.3,8.8,0.491,0.519,1.7,2.2,0.765,0.6,3.8,4.3,2.5,1.2,0.3,1.7,2.4,16.4
25,Doug McDermott,SF,6-8,225,"January 3, 1992",us,2,Creighton University,Oklahoma City,Thunder,Doug McDermott,25,44,4,24.5,3.8,8.5,0.445,1.3,3.4,0.376,2.5,5.1,0.491,0.52,1.3,1.5,0.881,0.3,2.6,3,1,0.3,0.1,0.7,1.3,10.2
9,Jerami Grant,SF,6-8,210,"March 12, 1994",us,2,Syracuse University,Oklahoma City,Thunder,Jerami Grant,22,2,0,20.5,3,8.5,0.353,0,1,0,3,7.5,0.4,0.353,2,4,0.5,0,3.5,3.5,0,0,2,1.5,2.5,8
15,Kyle Singler,SF,6-8,228,"May 4, 1988",us,4,Duke University,Oklahoma City,Thunder,Kyle Singler,28,28,0,10.2,0.8,2,0.4,0.2,0.9,0.231,0.6,1,0.552,0.455,0.3,0.4,0.818,0.1,1,1.1,0.2,0.1,0.1,0.4,0.8,2.1
11,Enes Kanter,C,6-11,245,"May 20, 1992",ch,5,,Oklahoma City,Thunder,Enes Kanter,24,66,0,21.5,5.6,10.2,0.552,0.1,0.5,0.139,5.6,9.7,0.575,0.556,3.1,3.9,0.787,2.7,4.1,6.8,1,0.4,0.6,1.7,2.1,14.4
34,Josh Huestis,PF,6-7,230,"December 19, 1991",us,1,Stanford University,Oklahoma City,Thunder,Josh Huestis,25,1,0,7,3,4,0.75,1,2,0.5,2,2,1,0.875,0,0,,2,2,4,1,0,1,0,0,7
8,Alex Abrines,SG,6-6,190,"August 1, 1993",es,R,,Oklahoma City,Thunder,Alex Abrines,23,65,6,15.6,1.9,4.9,0.386,1.3,3.6,0.365,0.6,1.4,0.443,0.519,0.7,0.8,0.898,0.2,1,1.2,0.6,0.6,0.1,0.5,1.7,5.8
3,Domantas Sabonis,PF,6-11,240,"May 3, 1996",us,R,Gonzaga University,Oklahoma City,Thunder,Domantas Sabonis,20,75,65,20.5,2.4,5.9,0.405,0.6,1.9,0.317,1.8,3.9,0.447,0.457,0.5,0.7,0.618,0.5,3,3.6,1,0.5,0.4,1,2.5,5.8
6,Semaj Christon,PG,6-3,190,"November 1, 1992",us,R,Xavier University,Oklahoma City,Thunder,Semaj Christon,24,58,0,14.5,1.2,3.4,0.342,0.2,0.9,0.17,1,2.5,0.406,0.365,0.3,0.5,0.517,0.3,1,1.3,2,0.4,0.1,0.7,1.2,2.7
30,Norris Cole,PG,6-2,175,"October 13, 1988",us,5,Cleveland State University,Oklahoma City,Thunder,Norris Cole,28,9,0,7.6,1,3.1,0.321,0.1,0.6,0.2,0.9,2.6,0.348,0.339,0.2,0.2,1,0,0.6,0.6,1.1,0.3,0,0.8,0.8,2.3
0,Damian Lillard,PG,6-3,195,"July 15, 1990",us,4,Weber State University,Portland,Trailblazers,Damian Lillard,26,71,71,35.8,8.8,19.6,0.448,2.8,7.6,0.371,6,12,0.497,0.52,6.4,7.2,0.896,0.6,4.2,4.9,5.9,0.9,0.3,2.7,2.1,26.8
3,C.J. McCollum,SG,6-4,200,"September 19, 1991",us,3,Lehigh University,Portland,Trailblazers,C.J. McCollum,25,76,76,34.9,8.7,18,0.486,2.4,5.6,0.427,6.3,12.4,0.513,0.553,3.4,3.7,0.912,0.7,2.9,3.6,3.6,0.9,0.5,2.2,2.6,23.3
6,Shabazz Napier,PG,6-1,175,"July 14, 1991",us,2,University of Connecticut,Portland,Trailblazers,Shabazz Napier,25,49,0,8.9,1.1,2.9,0.373,0.5,1.6,0.338,0.6,1.3,0.415,0.465,0.5,0.7,0.727,0.1,0.9,1,1.2,0.6,0,0.7,0.6,3.2
21,Noah Vonleh,PF,6-10,240,"August 24, 1995",us,2,Indiana University,Portland,Trailblazers,Noah Vonleh,21,68,35,16,1.6,3.5,0.475,0.1,0.3,0.35,1.5,3.2,0.486,0.489,0.7,1.2,0.588,1.5,3.4,4.9,0.4,0.4,0.3,0.9,2,4.1
27,Jusuf Nurkic,C,7-0,280,"August 23, 1994",ba,2,,Portland,Trailblazers,Jusuf Nurkic,22,20,19,29.2,6,11.8,0.508,0,0.1,0,6,11.8,0.511,0.508,3.2,4.9,0.66,3.3,7.1,10.4,3.2,1.3,1.9,3.1,3.7,15.2
8,Al-Farouq Aminu,SF,6-9,220,"September 21, 1990",us,6,Wake Forest University,Portland,Trailblazers,Al-Farouq Aminu,26,56,23,28.8,3,7.5,0.398,1.1,3.4,0.324,1.9,4.1,0.457,0.47,1.5,2.2,0.694,1.2,6.3,7.4,1.6,1,0.7,1.6,1.7,8.6
17,Ed Davis,PF,6-10,240,"June 5, 1989",us,6,University of North Carolina,Portland,Trailblazers,Ed Davis,27,46,12,17.2,1.6,3.1,0.528,0,0,,1.6,3.1,0.528,0.528,1.1,1.8,0.617,2.1,3.2,5.3,0.6,0.3,0.5,0.8,3,4.3
5,Pat Connaughton,SG,6-5,206,"January 6, 1993",us,1,University of Notre Dame,Portland,Trailblazers,Pat Connaughton,24,35,0,6.7,0.7,1.3,0.489,0.3,0.5,0.474,0.4,0.8,0.5,0.585,0.2,0.3,0.778,0.3,0.8,1.1,0.5,0.1,0.1,0.3,0.5,1.8
1,Evan Turner,SG,6-7,220,"October 27, 1988",us,6,Ohio State University,Portland,Trailblazers,Evan Turner,28,59,10,25.5,3.6,8.4,0.428,0.5,1.8,0.275,3.1,6.6,0.47,0.458,1.4,1.6,0.833,0.6,3.2,3.7,3.1,0.8,0.3,1.5,1.8,9.1
23,Allen Crabbe,SG,6-6,210,"April 9, 1992",us,3,University of California,Portland,Trailblazers,Allen Crabbe,24,76,7,28.5,3.8,8.1,0.464,1.6,3.8,0.436,2.1,4.3,0.488,0.565,1.4,1.6,0.858,0.3,2.6,2.8,1.1,0.7,0.2,0.8,2.2,10.5
10,Jake Layman,SF,6-9,210,"March 7, 1994",us,R,University of Maryland,Portland,Trailblazers,Jake Layman,22,31,0,5.7,0.6,2,0.302,0.3,1.3,0.244,0.3,0.7,0.409,0.381,0.4,0.5,0.765,0.1,0.4,0.5,0.2,0.2,0.1,0.2,0.6,2
11,Meyers Leonard,PF,7-1,245,"February 27, 1992",us,4,University of Illinois at Urbana-Champaign,Portland,Trailblazers,Meyers Leonard,24,68,8,15.8,1.9,5,0.385,1,2.8,0.347,0.9,2.2,0.432,0.482,0.5,0.6,0.875,0.4,2.7,3.1,1,0.1,0.4,0.5,2.3,5.3
31,Festus Ezeli,C,6-11,255,"October 21, 1989",ng,3,Vanderbilt University,Portland,Trailblazers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,Maurice Harkless,SF,6-9,215,"May 11, 1993",us,4,St. John's University,Portland,Trailblazers,Maurice Harkless,23,72,65,28.8,4.1,8.2,0.495,0.9,2.6,0.346,3.2,5.6,0.564,0.55,1.1,1.7,0.639,1.7,2.8,4.5,1.2,1.1,0.9,1.2,2.8,10.1
55,Tim Quarterman,SG,6-6,195,"October 27, 1994",us,R,Louisiana State University,Portland,Trailblazers,Tim Quarterman,22,13,0,3.4,0.6,1,0.615,0.2,0.5,0.5,0.4,0.5,0.714,0.731,0,0,,0.2,0.3,0.5,0.6,0.1,0.2,0.3,0.3,1.5
24,Mason Plumlee,C,6-11,245,"March 5, 1990",us,3,Duke University,Denver,Nuggets,Mason Plumlee,26,54,54,28.1,4.4,8.2,0.532,0,0.1,0,4.4,8.1,0.538,0.532,2.4,4.1,0.567,2.2,5.8,8,4,0.9,1.2,1.6,2.8,11.1
8,Danilo Gallinari,SF,6-10,225,"August 8, 1988",it,7,,Denver,Nuggets,Danilo Gallinari,28,59,59,33.6,5.1,11.7,0.439,1.9,4.9,0.384,3.2,6.7,0.48,0.52,5.6,6.2,0.902,0.6,4.4,5.1,2.1,0.7,0.3,1.3,1.5,17.7
21,Wilson Chandler,SF,6-8,225,"May 10, 1987",us,8,DePaul University,Denver,Nuggets,Wilson Chandler,29,66,31,31.1,6.2,13.5,0.461,1.5,4.5,0.333,4.7,8.9,0.526,0.517,2,2.7,0.733,1.5,5,6.5,2.1,0.8,0.5,1.7,2.3,15.9
35,Kenneth Faried,PF,6-8,228,"November 19, 1989",us,5,Morehead State University,Denver,Nuggets,Kenneth Faried,27,58,31,21.7,3.8,6.9,0.55,0,0.1,0,3.8,6.8,0.558,0.55,2.2,3.2,0.696,3.1,4.7,7.7,0.9,0.7,0.7,1,2,9.8
14,Gary Harris,SG,6-4,210,"September 14, 1994",us,2,Michigan State University,Denver,Nuggets,Gary Harris,22,52,51,30.8,5.5,11.1,0.498,1.9,4.5,0.418,3.7,6.7,0.552,0.582,1.8,2.3,0.787,0.8,2.2,3,2.6,1.3,0.2,1.3,1.6,14.8
0,Emmanuel Mudiay,PG,6-5,200,"March 5, 1996",cd,1,,Denver,Nuggets,Emmanuel Mudiay,20,51,41,25.9,3.8,10.1,0.372,1,3.3,0.313,2.7,6.9,0.4,0.422,2.4,3.1,0.788,0.5,2.8,3.3,3.9,0.7,0.3,2.3,1.7,11
